event_date,event_name,,,,,,,,,,,,,
7/31/2014, Stanley And The Search / No Tide  / Finding Common Ground  / Denver Port Authority  / Jade Skyline  more TBA ,,,,,,,,,,,,,
8/3/2014, Days n Daze / Broken Bow  / Robbers' Roost  / Blind Man Deaf Boy  / Chatterbox  / Marissa  / Casper Allen  ,,,,,,,,,,,,,
8/4/2014,Nouveau-Expo / Places to Hide / ...And The Black Feathers / The Dead Side / Thousand Frames / more TBA,,,,,,,,,,,,,
8/6/2014, Joey Molinaro  / Neptunian Weathervane  / Shanghai Sally  / See,,,,,,,,,,,,,
8/9/2014, Panzergod / Nefirum / Willow / Nybbas / Music Distroyer  ,,,,,,,,,,,,,
8/10/2014, Growing Cold / Maleficarum  / FUBAR  / Odio  / Excarnation  ,,,,,,,,,,,,,
8/12/2014, Electrician  / Zarick  / David Mead  / Positive Marvin  / more TBA ,,,,,,,,,,,,,
8/13/2014, Ooze / Big Zit / Civilized / Negative Degree / Culture Shock ,,,,,,,,,,,,,
8/14/2014,Dharma / See-You-Home-Wolf / Greatest Hipster Event of the Year / more TBA ,,,,,,,,,,,,,
8/15/2014,Aaron Birthday show / Noah going-away show - Morning Glory / The Suicide Machines / Pears / Sequels / Solterra (has to play after 10) / Iluminado / Springfield / Bat Manors (gmail aaron) / See-You-Home-Wolf ,,,,,,,,,,,,,
8/16/2014,"Last-minute Summergrind afterparty - Pears, The Atom Age, Short Bus Rejects, Half of the Jroolies with Half of the Atom Age, Green All Nighter, Pillow Folk, The Rockin' Rascals",,,,,,,,,,,,,
8/17/2014, Chatterbox  / Arroyo Deathmatch  / Matt Pless  / VanHägar  / Marissa  / Pumpernickel  ,,,,,,,,,,,,,
8/18/2014, Tiger Wine / Comrades / Household / Pierre  / Excarnation  ,,,,,,,,,,,,,
8/19/2014, Rikk Agnew Band  / Almost Perfect  / The Pollution  / Red Federation  / Deadwolf  ,,,,,,,,,,,,,
8/21/2014, The Waffle Stompers / No Such Noise  / Sequels  / All Waffle Trick  / Then I Fly  ,,,,,,,,,,,,,
8/22/2014, Bone Rot  / Resent  ,,,,,,,,,,,,,
8/23/2014, The Nuisances / Pumpernickel Washboard / Toupee + Lil Tits  / Strawberry Riot  ,,,,,,,,,,,,,
8/25/2014," Lipstick Homicide, Rational Anthem, Lawsuit Models, Boys , Daniel Amedee  ",,,,,,,,,,,,,
8/27/2014, Teenage Swoon / Dahling  / Pale  / W.C. Lindsay  / Ghey  / more TBA ,,,,,,,,,,,,,
8/29/2014, Blue Lane Frontier  / Daniel Amedee  / Blake George  / more TBA ,,,,,,,,,,,,,
8/30/2014, Goatsilk / Blue Collar Killers / Death for Breakfast / The Desoulators ,,,,,,,,,,,,,
8/31/2014,Run-On Sunshine / PANADERIA / Obtuse  / Unit-Y ,,,,,,,,,,,,,
9/1/2014, The Forum Walters  / Symptoms / The Watchwood / Pitch Invasion / Dying Rebels,,,,,,,,,,,,,
9/2/2014, Blackbird Raum / Blind Man Deaf Boy / Estafets  / Jerkagram  / Nomad Mountain Outlaws / The Nuisances,,,,,,,,,,,,,
9/5/2014, Marlo Nawhal  / Today's Paraount  / Big Green Carpet  / more TBA ,,,,,,,,,,,,,
9/6/2014, Kiel Grove / Randall Conrad Olinger / Smokestack Relics / Minor's Daughter / Jameson Slade  / Them Savages / Ms. Moody ,,,,,,,,,,,,,
9/7/2014, Gomorrah / Dogma  / Prize the Doubt  / Tir Asleen  / FUBAR / Several Crowded Ghost,,,,,,,,,,,,,
9/9/2014,Temple / The Quitters / See-You-Home-Wolf  / Greatest Hipster Event of the Year / The Good Gracious,,,,,,,,,,,,,
9/10/2014, Dreadnought  / The Dread Crew of Oddwood  / Potcheen ,,,,,,,,,,,,,
9/12/2014, Some Kind of Nightmare  / The Fever  / The Short Bus Rejects  / FUBAR  / Strawberry Riot  / more TBA ,,,,,,,,,,,,,
9/14/2014, The Rockin' Rascals / Dividing The Skyline / Jade Skyline / Four Letters / The Short Bus Rejects,,,,,,,,,,,,,
9/15/2014, DJ Soli / Electrobolts  / Zarick  / Beyond Existence  ,,,,,,,,,,,,,
9/17/2014, Charlie Pray  / Blake George  / Hamish & Michael  / Corsicana  / more TBA ,,,,,,,,,,,,,
9/18/2014, The Wheelz / Violent Affair / Spatgasm / Criminal Mischief / The Kaotix / Living Victim,,,,,,,,,,,,,
9/22/2014, Koji / Boats Without Oars / See-You-Home-Wolf / New Leverage / Overslept,,,,,,,,,,,,,
9/23/2014, Bucket Flush  / Greatest Hipster Event of the Year  / Red Federation  / FUBAR ,,,,,,,,,,,,,
9/25/2014, G.H.E.Y. / Flight Kamikaze / Dusty McQueen/ more TBA ,,,,,,,,,,,,,
9/26/2014, Whirr  / Mako1972  / Joy Subtraction / Muscle Beach  / Autumn Creatures  ,,,,,,,,,,,,,
9/27/2014, ODIO / Demonified Necrogenetic Anomaly / Paths to Necropolis / Armanium,,,,,,,,,,,,,
9/28/2014,Chris McD Birthday show - The Windermeres (FB) / Rascals (FB) / more TBA,,,,,,,,,,,,,
9/29/2014, Scrap Kids / Reality Show / Ross Hostage / Pumpernickel Washboard / Alex Morales  ,,,,,,,,,,,,,
9/30/2014, Candy Hearts  / Black Dots  / Lawsuit Models  / more TBA ,,,,,,,,,,,,,
10/1/2014, Fluorescent Phobia  / The Holy Child  / Charlie Pray  / Joseph Lamar  / Blake George  ,,,,,,,,,,,,,
10/3/2014,7th Circle 2-year anniversary weekend Day 1 - Smack Saturday (FB) / Facial (FB) / Blck Fysh (FB) / Today's Paramount (FB) / Unit-Y (FB) / Nevayda Gunn (FB),,,,,,,,,,,,,
10/5/2014,Potato Pirates (FB -10pm) / -Sequels (FB - any slot) / -Rockin' Rascals (FB - after 5pm) / -Strafgod (FB - free all day) / -Whitecatpink (FB- free all day) / -Kult of Skaro (FB - avail between 5 and 7) / -The Short Bus Rejects (FB- free all day) / All Waffle Trick (FB - might need to play after 5) / -Deadwolf (FB - must play after 7:45) / Spatgasm (UNANNOUNCED)-(FB - must be over by 8 or so) / -Nuisances (FB - must play after 3:45) / -Jack's Smirking Revenge (FB - after 5),,,,,,,,,,,,,
10/7/2014," Slaughter and the Dogs  / The Bad Engrish , Strafgod , RBM ",,,,,,,,,,,,,
10/8/2014, Juicy Karkass  / Greatest Hipster Event of the Year  / Plan B Rejects  / Short Bus Rejects  ,,,,,,,,,,,,,
10/9/2014, Exit Glaciers  / Charlie Pray  / Blake Gallagher  more TBA ,,,,,,,,,,,,,
10/11/2014, The Danner Party  / Time Scale  / Hamish and Michael  / more TBA ,,,,,,,,,,,,,
10/14/2014, Mannequin Mishap / Facial / Cheeks / TripLip,,,,,,,,,,,,,
10/15/2014, The Short Bus Rejects / Strafgod  / Bottom Bracket  / FUBAR  / Joy Subtraction  ,,,,,,,,,,,,,
10/16/2014, Sarah Kanyok / Brian Parton / Blanket Empire / Brian Doyle / more TBA ,,,,,,,,,,,,,
10/17/2014, WhiteCatPink / Sparkle Jetts / 9 Volt Fatale / Gata Negra ,,,,,,,,,,,,,
10/18/2014,Afternoon/evening metal fest -In Death and Decay / Bermuda Skies /  Dead Label (FB Eric Schuman - Aaron) / High Tide Low Tide /  Twin Cities / Alaska (both FB Joel Kirschenbaum FB Aaron) / Falter Never Fail / Excarnation /  September Downpour ,,,,,,,,,,,,,
10/19/2014,Tiffany Erickson tribute show - Captain Blood (FB) / Truckasaurus (FB) / PxPx / G.H.E.Y. / Spatgasm (FB - any time) / Strafgod / Kaotix,,,,,,,,,,,,,
10/22/2014, Charlie Pray  / El Oso and the Honeybears  / Alex Morales  ,,,,,,,,,,,,,
10/24/2014, Time Scale  / Rosedale  / Self Proclaimed Narcissist / Kevin Schlereth  / Blue Lane Frontier  / more TBA ,,,,,,,,,,,,,
10/25/2014, The Rotten Blue Menace  / OC45 / Common Tongue ) / Head Injuries  / Chemical X  ,,,,,,,,,,,,,
10/26/2014, Iron Reagan  / Gomorrah  / Cloud Catcher  / FUBAR  ,,,,,,,,,,,,,
10/27/2014, Ronin Red / Kruza Kid / Crow / Coyote / Emily Nicole / T Dank Jefferson ,,,,,,,,,,,,,
10/28/2014, Today Is The Day  / Call of the Void  / Of Feather and Bone  / Excarnation  / 908  ,,,,,,,,,,,,,
10/30/2014, Jucifer  / Ghosts Of Glaciers  / Whilt  / Iwakura  ,,,,,,,,,,,,,
10/31/2014, Jroo and Jules' Rocky Horror Halloween Party ,,,,,,,,,,,,,
11/1/2014,Not My Weekend / Disposed  / Inspired and the Sleep  Incinerate the being / Corsicana ,,,,,,,,,,,,,
11/3/2014, 4 Minute Warning  / Pass The Flask / Swing Low  / One Time Crime  / Inloo  ,,,,,,,,,,,,,
11/4/2014, Freak Vibe / Negative Degree / Civilized / Chase Ambler ,,,,,,,,,,,,,
11/6/2014, Night Grinder  / Eat The Sun  / Megafauna  / Triggersad  / Charlie Pray  ,,,,,,,,,,,,,
11/7/2014, Seren  / Odio  / Sugar Skulls & Marigolds (FB Andrew ,,,,,,,,,,,,,
11/8/2014, Aaron Long and Friends ,,,,,,,,,,,,,
11/9/2014, Charlie Pray  / Keith Kenny  / Blake George  / Strawberry Riot  ,,,,,,,,,,,,,
11/11/2014, Veara / Second to Last / Finding Common Ground / All Waffle Trick,,,,,,,,,,,,,
11/13/2014, The Rotten Blue Menace / Chemical X / FUBAR / Greatest Hipster Event of the Year / Serial Killer Sunday School ,,,,,,,,,,,,,
11/14/2014,"Earth A.D. / D.I. (Members of SOL, Insomniaxe, Doperunner, and more) / The Nasty Bunch of Bitches as No Doubt  / Strawberry Riot as Alkaline Trio",,,,,,,,,,,,,
11/15/2014,"Punk Covers show / Sid Darling's birthday show - Sick Mind (FB, Rotten Blue + Fubar doing Op Ivy) / DescendBAR (FB) / WhiteCatKraftwerk (FB) / The Nuisances ",,,,,,,,,,,,,
11/16/2014," Soul search, fury, old lines, Of Feather and Bone, iwakura ",,,,,,,,,,,,,
11/20/2014, Sequels  / Sons of Odin / Straight Outta Luck  / The Rockin' Rascals  / The Short Bus Rejects  / Screaming Mormons  ,,,,,,,,,,,,,
11/21/2014, Centimani  / Unleash the Archers  / Solarfall  / Endlight  ,,,,,,,,,,,,,
11/22/2014, The Larimers / Charlie Siren / Let Yourself Go / The Ghoulies / La Mugre Social Club  ,,,,,,,,,,,,,
11/23/2014, Gomorrah / FUBAR / Screaming Mormons  / The Nuisances ,,,,,,,,,,,,,
11/24/2014, Iwakura  / Seizures  / Caged Bird Songs  / Future Single Mom  / Bone Rot  / more TBA ,,,,,,,,,,,,,
11/25/2014, The Sheds / Sleeping Weather / The News Can Wait  / High Tide Low Tide  / Postcards  ,,,,,,,,,,,,,
11/28/2014,Benefit for Brandon (hip hop show) - Little Lean / B-Rath,,,,,,,,,,,,,
11/29/2014,Strafgod  / Short Bus Rejects / Living Victim  / FUBAR / Cordial Spew / Screwtape / The Nuisances  / The Rotten Blue Menace / Kastaye,,,,,,,,,,,,,
11/30/2014, The Sleer  / Ten Foot Beast  / Tricoma   / Seeds  / Sugar Skulls and Marigolds  ,,,,,,,,,,,,,
12/3/2014, The Rockin' Rascals  / Sick Mind / The Apathy Cycle (gmail ,,,,,,,,,,,,,
12/4/2014, Papertowns.  / The Backseaters  / Joe Richards  / Nixon's The One  / Obtuse  ,,,,,,,,,,,,,
12/5/2014, Innerspace  / Bad Maps  / Tyto Alba  / Natural Balance  ,,,,,,,,,,,,,
12/9/2014, All Waffle Trick  / Stanley and the Search  / Atta Boy  / Distance in Analog  / Bad Valet  ,,,,,,,,,,,,,
12/10/2014, Broken Bow  / Rachael Miles & Jay Crash / Shoot Dang  / Creation Order Xtinction  / Bison Bone  / more TBA ,,,,,,,,,,,,,
12/12/2014, Coat Drive show - ODIO / Serial Killer Sunday School / FUBAR / People Corrupting People / G.H.E.Y. / Bootjack & Bonz / Strawberrie Riot,,,,,,,,,,,,,
12/13/2014, Staple Milk / Juicebox of Paradise / Astro Revolution / Dope L  / more TBA ,,,,,,,,,,,,,
12/14/2014, Reality Show  / Alex Culbreth  / Sea of Teeth  / The Carnivores  / more TBA ,,,,,,,,,,,,,
12/17/2014, Rating The Hate / Holy Crimes / Locks / Head Shots / Passerby ,,,,,,,,,,,,,
12/19/2014, Spat-Rascals / The Ghoulies / The Nasty Bunch of Bitches / WhiteCatPink / Unit-Y / The Short Bus Rejects,,,,,,,,,,,,,
12/20/2014,Rotten Blue Strafgod Tour kickoff - RBM / Strafgod / The Nervous / Spatgasm / Short Bus / Rascals / Chemical X / FUBAR,,,,,,,,,,,,,
12/21/2014, Blake George  / Daniel Amedee  / Jacob Russo  / American Grandma  / Mitchel Evan  ,,,,,,,,,,,,,
12/22/2014,"Dub Jam-Ben, Wade, DFB, + others / Sea of Teeth / Lunetta / Charlie Pray / Joseph Lamar / Garrett Botkins",,,,,,,,,,,,,
12/27/2014, Postcards / Finding Common Ground / Life Lessons / Wild Trees  / more TBA ,,,,,,,,,,,,,
12/28/2014, Narrowed  / Revolt  / The Rockin' Rascals / Spatgasm / Excarnation / Wolof  ,,,,,,,,,,,,,
12/29/2014, Boats Without Oars  / The Howl  / iluminado  / See-You-Home-Wolf / Bishop ,,,,,,,,,,,,,
1/6/2015, FUBAR  / Our Own Accord / Ascendancy  / Endlight  / Exalt  ,,,,,,,,,,,,,
1/8/2015,Drunkin' Relatives / See-You-Home-Wolf/ Today's Paramount/ Unit Y,,,,,,,,,,,,,
1/9/2015,  Shanghai Sally / Triggersad / Pitches Brew Improv ,,,,,,,,,,,,,
1/10/2015, Straight Outta Luck  / The Ghoulies  / The Short Bus Rejects  / Captain Blood  / Screwtape  / Live Nude Girls  / ,,,,,,,,,,,,,
1/15/2015, Strawberry Runners / Growl / Pizza Time ,,,,,,,,,,,,,
1/16/2015, Paths to Necropolis / Living Victim  / The Nuisances / ODIO  / The Pennyfarthing Gang / more TBA ,,,,,,,,,,,,,
1/17/2015," Laundry Pile / Super Fresh, Dean Martin and Animusvox / Austin Howell / Yeah Yeah and Biggo Manbeast / Logistixx ",,,,,,,,,,,,,
1/20/2015, California X  / Living Alone / Chase Ambler ,,,,,,,,,,,,,
1/21/2015, Gottem / The Magic Fountain  / Empress  / Live Nude Girls  ,,,,,,,,,,,,,
1/22/2015, Gomorrah / FUBAR / Paths to Necropolis / Solarfall / Endlight ,,,,,,,,,,,,,
1/23/2015, American Grandma  / Candy Lee  / Short songs  / Pleasant Creak  / Whiskey Richard (phone call 303.808.9463 ,,,,,,,,,,,,,
1/24/2015, Fabled / BOX / Race to Neptune ,,,,,,,,,,,,,
1/25/2015, By The Thousands / Superior / Mithya  / Flagship (fb ,,,,,,,,,,,,,
1/30/2015, G.H.E.Y. / Not The Arrow / Chase Ambler / Reality Show / Jack's Smirking Revenge  / Strawberry Riot / Bareface ,,,,,,,,,,,,,
1/31/2015, Truckasaurus  / No Good Reason  / Self Service  / Coffeemakers  / Adam and the Adorable Dudes,,,,,,,,,,,,,
2/2/2015, Axis / Drown / Of Feather and Bone / Catholic Girls ,,,,,,,,,,,,,
2/3/2015, Sunrise and Ammunition / Facial / Lucida Tela / Drunkin' Relatives ,,,,,,,,,,,,,
2/5/2015, Engage the Hammer / Trick Punch / Green Druid ,,,,,,,,,,,,,
2/7/2015, Royal Dead / FUBAR / ODIO / Activate Boner / Paths to Necropolis / Fall of Scylla / The Nuisances / Solarfall / Pennyfarthing Gang / Exalt  ,,,,,,,,,,,,,
2/8/2015, Neptunian Weathervane / Comrades / Tiger Wine  / Poor Bodie / The Electric Daisies / The Drunkin' Relatives ,,,,,,,,,,,,,
2/9/2015, Miss Massive Snowflake/ Unit Y/ The Magdalene Laundries/ Shanghai Sally,,,,,,,,,,,,,
2/10/2015, Exalt  / Final Blow / Excarnation ,,,,,,,,,,,,,
2/13/2015,The Short Bus Rejects / Screwtape / The Nuisances / Big Deke With No Label,,,,,,,,,,,,,
2/14/2015, Flight Kamikaze / Finding Common Ground / Head Injuries / The Larimers / Jade Skyline / Poor Me ,,,,,,,,,,,,,
2/15/2015, Keeper  / Atta Boy  / Super Hero Day Job  / All Dogs Invited  / more TBA ,,,,,,,,,,,,,
2/18/2015, Integral Groove / Wise One / DJ Substrate / Electrobolts / Leomar Mendez ,,,,,,,,,,,,,
2/19/2015, Q Dot / High Five / Radio / Smoky Bare / Jack Flash / DStylz  ,,,,,,,,,,,,,
2/20/2015,FREE SHOW - Black Beard Bob Birthday show - Straight Outta Luck / Ego Leak / The Rockin' Rascals' impromptu hip-hop project / Strafgod / Captain Blood / G.H.E.Y. / Bone-Rot,,,,,,,,,,,,,
2/21/2015, Evacuate / The Bad Engrish  / The Kaotix  / Spatgasm  / The Rotten Blue Menace  ,,,,,,,,,,,,,
2/26/2015, Red Apple Cigarettes  / Joseph Lamar   / The Atomiks  / The Drones  ,,,,,,,,,,,,,
2/27/2015, Fubar album release show - FUBAR / Gomorrah / ODIO / Solarfall / Endlight,,,,,,,,,,,,,
2/28/2015, Montoneros / Anterroir / Miles To Mountains / Old Sport ,,,,,,,,,,,,,
3/2/2015, Who Killed Spikey Jacket?  / The Kaotix  / Potato Pirates   / The Bad Engrish  / Strafgod  / The Rotten Blue Menace   / Ego Leak  / The Nuisances  ,,,,,,,,,,,,,
3/3/2015, Cult Leader  / Of Feather and Bone  / Excarnation  / Iwakura  / more TBA ,,,,,,,,,,,,,
3/4/2015, Poetry slam night ,,,,,,,,,,,,,
3/5/2015, The Windermeres  / Papertowns. / Keeper  / Black Dots  / Foxtrot  ,,,,,,,,,,,,,
3/6/2015, Dendrites  / Survay Says!  / The Short Bus Rejects  / 5280 ,,,,,,,,,,,,,
3/8/2015, Jesse Stockton  / Band Idiot  / Pretty. Loud.  / Evenstar  / more TBA ,,,,,,,,,,,,,
3/9/2015, The Atom Age  / The Ghoulies  / Strafgod  / The Short Bus Rejects  ,,,,,,,,,,,,,
3/10/2015, Days n' Daze  / Chatterbox and the Latterday Satanists  / Raven on the Rooftop  / Pennyfarthing Gang  / Marissa.  / My Friends Worship Satan  ,,,,,,,,,,,,,
3/11/2015, Fossil Youth  / Pleasant Creek  / Circling  / Sunday Morning Hangover  ,,,,,,,,,,,,,
3/12/2015, Motion Theatre  / Modus Audio  / In The Variant  / High Tide Low Tide  / All Dogs Invited  ,,,,,,,,,,,,,
3/13/2015, The Pharoes  / Danger*Cakes  / The Hollow Hearted  / Sharon Knight  / more TBA ,,,,,,,,,,,,,
3/14/2015, Abeasity Jones / DJ Chris Haven  / Leomar Mendez  / Empress  / more TBA ,,,,,,,,,,,,,
3/15/2015,Heartsick / Lifecurse / Fall of Scylla  / Doubted Minds,,,,,,,,,,,,,
3/16/2015," Sorry, No Sympathy / Roots Like Mountains / Remain & Sustain / Everyday Heroes ",,,,,,,,,,,,,
3/19/2015, The Family Bed / Hazing / Boats Without Oars / Obtuse / Overslept ,,,,,,,,,,,,,
3/20/2015, New Leverage  / Bad Lyres  / See,,,,,,,,,,,,,
3/21/2015, Lighthouses / TigerWine  / Bridges Will Break  / Birthday Candles / Claudzilla / Ampullae of Lerenzini / Gort vs. Goom  ,,,,,,,,,,,,,
3/22/2015, Mossi / Nelson at the Helm / Shane Horner / Dylan Anitok  / Emily Shreve  / Evenstar  ,,,,,,,,,,,,,
3/23/2015, Unit-Y / Pale  / Positive Marvin / The Terminals,,,,,,,,,,,,,
3/24/2015, American Pinup  / Foxen  / The Hollow Hearted  / Marissa.  ,,,,,,,,,,,,,
3/27/2015, Shanghai Sally  / Sugar Skulls and Marigolds  ,,,,,,,,,,,,,
3/28/2015, Saustro and the Fruity Loops / MME / Chase Ambler / The Dorms / Barely Free  ,,,,,,,,,,,,,
3/30/2015, SKSS  / Some Kind of Nightmare  / Straight Outta Luck  / Drunk Diggery  / InLoo  ,,,,,,,,,,,,,
3/31/2015, La Armada  / Living Victim  / ROÄC  / Ego Leak  / Greatest Hipster Event of the Year  ,,,,,,,,,,,,,
4/3/2015, Allout Helter  / Class of 86  / FUBAR  / Screwtape  ,,,,,,,,,,,,,
4/4/2015, Kill Minus Nine / Dr. Death and Mr. Vile / Parasite Core ,,,,,,,,,,,,,
4/5/2015, Sonic Graffiti / Wandering  / Lowgrey  / Audrey  / The Pharoes ,,,,,,,,,,,,,
4/6/2015, Today's Paramount  / The Saturday Giant  / Neptuinian Weathervane  / American Grandma  / Sunrise Detour  ,,,,,,,,,,,,,
4/7/2015, Blue Lane Frontier / Corsicana / Tristan Sagar / Pennyfarthing Gang ,,,,,,,,,,,,,
4/10/2015, Safe Boating is No Accident / Clemente / Blanket Empire / The Velveteers ,,,,,,,,,,,,,
4/11/2015,The Short Bus Rejects 1-year anniversary show! / The Rotten Blue Menace/ The Rockin' Rascals / People Corrupting People / X and the Junkies / Ego Leak / Screwtape / The Nuisances / Screaming Mormons,,,,,,,,,,,,,
4/12/2015, Enemy In I / Rating The Hate / 21 Taras,,,,,,,,,,,,,
4/15/2015,Our Own Accord  / Exalt / Psychonaut  / more TBA ,,,,,,,,,,,,,
4/16/2015, Lord Green  / Tricoma  / Gravitron  / The Uglys  / more TBA ,,,,,,,,,,,,,
4/18/2015, FUBAR / Paths to Necropolis / Bork Lazer / Odio / Fall of Scylla / Armanium ,,,,,,,,,,,,,
4/19/2015, Days of Struggle / more TBA ,,,,,,,,,,,,,
4/21/2015, Bubblegum Octopus / Femoral  / Iwakura  / Lamebrain  / Julien  ,,,,,,,,,,,,,
4/22/2015, Drunkin' Relatives  / Solterra  / Comrades  / Tigerwine  / Skyfight  ,,,,,,,,,,,,,
4/24/2015, Bossilator / Twerkshop / Digital Virus / Electrobolts / Chris Davis ,,,,,,,,,,,,,
4/25/2015, Thinking Plague / StarPeriodStar,,,,,,,,,,,,,
4/26/2015, Benefit show for Reading Partners - The Repercussions / Strafgod / Runaway Brother / The Short Bus Rejects / Screwtape / The Nuisances / Ross Hostage,,,,,,,,,,,,,
4/27/2015, Serial Killer Sunday School  / FOXEN  / Party Like Thieves  / The Hollow Hearted  / Umbrella Weather  ,,,,,,,,,,,,,
4/28/2015, Positive Marvin  / Darsombra  / The Electric Daisies  / ANIMAL/object  / Fifth Veil  ,,,,,,,,,,,,,
4/30/2015, Endlight album release show / FUBAR / Solarfall ,,,,,,,,,,,,,
5/1/2015, FUBAR / Solarfall / GNASH / Violent Fantasies / Dead Fuse  ,,,,,,,,,,,,,
5/2/2015, Sunday Morning Hangover  / Shut Up Matt Jewett  / Eye The Realist  / Foxtrot  / Band Idiot  ,,,,,,,,,,,,,
5/5/2015, MDC/Erin Cookman / Deathwish (all Jay Crash FB ,,,,,,,,,,,,,
5/6/2015, The Flex / Red Death / more TBA ,,,,,,,,,,,,,
5/7/2015, PxPx / OC45  / Straight Outta Luck  / The Rotten Blue Menace  / The Rockin' Rascals ,,,,,,,,,,,,,
5/8/2015, 924 Gilman night at 7th Circle!!! The Underbelly  / 11th Hour   / Strgod  / Sick Mind  ,,,,,,,,,,,,,
5/9/2015, Stoic Dissention / Throne of Belial / Spectral Voice  ,,,,,,,,,,,,,
5/10/2015, Today's Paramount  / Maeth  / The Electric Daisies  / Tricoma  ,,,,,,,,,,,,,
5/13/2015, Kevin Book Memorial Show ,,,,,,,,,,,,,
5/14/2015, Chrysalis  / The Uglys  / See You Home Wolf  more TBA ,,,,,,,,,,,,,
5/15/2015,Robby White birthday show - The Short Bus Rejects / X And The Junkies / Violent Fantasies / The Defenestrators,,,,,,,,,,,,,
5/16/2015, Maid Myriad / The Fine Constant  / Fifth Veil  / Austin Belle  ,,,,,,,,,,,,,
5/17/2015, Deviants of Denver Tour Kick Off Party feat. People Corrupting People / Serial Killer Sunday School / Bootjack and Bonz / Bitch'n'Dudes  / Spokenest  / The Short Bus Rejects ,,,,,,,,,,,,,
5/19/2015, Cross Me / Blistered / Of Feather and Bone / Bone Rot ,,,,,,,,,,,,,
5/21/2015, Funny Cars / Team Rocket  / Julian Casablancas+The Voidz Music Video premiere  / My Friends Worship Satan  / Traveon Ramoane  ,,,,,,,,,,,,,
5/22/2015, Ryan Cassata  / American Haiku  / Big Deke With No Label  / Moonraker  / Raven on the Rooftop  / more TBA ,,,,,,,,,,,,,
5/25/2015, Black Sheep Wall / Colombian Necktie  / Excarnation  / more TBA ,,,,,,,,,,,,,
5/26/2015, The Lippies / The Larimers / The Sleights / X and the Junkiez ,,,,,,,,,,,,,
5/27/2015, PxPx / Sniper 66 / The Lippies / The Rotten Blue Menace ,,,,,,,,,,,,,
5/28/2015, Solterra  / Glasir  / Green Druid  / more TBA ,,,,,,,,,,,,,
5/29/2015, The Larimers  / The Couch Bombs / Expired Logic / Old Man Skate Camp  ,,,,,,,,,,,,,
5/30/2015, Of Man and Machine / Eikthyrnir  / Seren / Gomorrah / FUBAR  ,,,,,,,,,,,,,
5/31/2015, Eat The Sun  / After Nations  / See-You-Home-Wolf / The Daggermouth Spectacular ,,,,,,,,,,,,,
6/3/2015, La Armada  / Baltic to Boardwalk / High Hopes  / Johnny Hoffman & the Residents  / The Larimers  ,,,,,,,,,,,,,
6/4/2015, Ghost Mice  / Emi Night  / Jack's Smirking Revenge  / Chatterbox and the Latter Day Satanists  / Pennyfarthing Gang  ,,,,,,,,,,,,,
6/5/2015, David Liebe Har / Ancient Mith / Crunk Witch / Unit-Y / WhiteCatPink ,,,,,,,,,,,,,
6/6/2015, The Pharoes / Silent Sorcerer  / Youth In Asia / more TBA ,,,,,,,,,,,,,
6/7/2015, The Holy Shitheads  / The Electric Daisies  / Daniel Amedee / James Rose  / Breakneck Betty  / Sam Frakes  ,,,,,,,,,,,,,
6/10/2015," The Oblivion Hynm, Deprivationist, Kal'thean, Enemy In I, Our Scarlet Winter ",,,,,,,,,,,,,
6/11/2015, Ben Eberle show - Screwtape / Silver: A Nirvana cover band / Violent Fantasies / Secret Band / Big Deke with No Label ,,,,,,,,,,,,,
6/12/2015, Matt Pless  / Sidhe  / Creation Order Xtiction  / Sunday Morning Hangover  / My Friends Worship Satan  ,,,,,,,,,,,,,
6/13/2015, Day of Chaos round 2: Resilience  / Rum Rebellion  / Violent Affair  / Abuse of Substance  / Bloodrush  / Strafgod  / Kaotix  / Thee S.O.B.s  / Rascals  / 4 minute warning  / Screwtape  / Ego Leak  / more TBA ,,,,,,,,,,,,,
6/14/2015,Drunkin Relatives/ See-You-Home-Wolf/ The Velveteers/ Electric Daisies/ Burgundy Church Wagon,,,,,,,,,,,,,
6/15/2015,Pierre / Wanderer / Tigerwine / See-You-Home-Wolf / Second String / Schizero,,,,,,,,,,,,,
6/19/2015,Chiptune show - Rainbowdragoneyes / Michael Zucker / Aethernaut / Dr. Zilog / (DJ John Catdog between sets),,,,,,,,,,,,,
6/20/2015, Dirty Kid Discount / Raw Power / Deathwish  / Broken Bow  ,,,,,,,,,,,,,
6/21/2015, North / Secrets of the Sky  / Springfield  / The Daggermouth Spectacular  / Cult of the Lost Cause  / more TBA ,,,,,,,,,,,,,
6/22/2015, The Agrestix / The Kaotix / 4 Minute Warning  / Spatgasm  / Soap Charge  ,,,,,,,,,,,,,
6/25/2015, Postcards / Finding Common Ground / Spirit / The Coast Is Ours / Wild Trees ,,,,,,,,,,,,,
6/26/2015, Total Chaos  / Straight Outta Luck  / The Rockin' Rascals  / Ego Leak  / Screwtape  ,,,,,,,,,,,,,
6/27/2015," A23p / Solypsis / Shroud / Cpt.Howdy / Throat Of The Universe, w/ Djsets by Catdog ",,,,,,,,,,,,,
6/28/2015, Apathy Cycle  / The Larimers / Minus Well   / Denver Port Authority  / Violent Fantasies  ,,,,,,,,,,,,,
6/30/2015, Night Demon  / FUBAR  / Gomorrah  / Doomblues  / Circle of Beings  ,,,,,,,,,,,,,
7/1/2015, The Scandals / The Semi Automatics / Spent Idols  / Chemical X  / Los Low Lifes  ,,,,,,,,,,,,,
